,Herbivore.Insectivore.Rho,Herbivore.Insectivore.P,Herbivore.Insectivore.p.adj,Herbivore.Omnivore.Rho,Herbivore.Omnivore.P,Herbivore.Omnivore.p.adj,Insectivore.Omnivore.Rho,Insectivore.Omnivore.P,Insectivore.Omnivore.p.adj,Herbivore.Vertivore.Rho,Herbivore.Vertivore.P,Herbivore.Vertivore.p.adj,Insectivore.Vertivore.Rho,Insectivore.Vertivore.P,Insectivore.Vertivore.p.adj,Omnivore.Vertivore.Rho,Omnivore.Vertivore.P,Omnivore.Vertivore.p.adj,Carnivore.Herbivore.Rho,Carnivore.Herbivore.P,Carnivore.Herbivore.p.adj,Carnivore.Omnivore.Rho,Carnivore.Omnivore.P,Carnivore.Omnivore.p.adj
CYP51A1,-0.990113748650712,1,1,1.8217927658128,0.410918615025398,1,2.50970404323299,0.0724994309202471,0.753110431997027,4.03259819991917,0.000330981310176128,0.0269426393046163,4.44428226680274,5.2911458708304e-05,0.0532551586749898,2.59718871891505,0.0563941609638882,1,-1.16703075629352,0.729593847406674,1,0.687803137302431,1,1
USP28,-1.88549710957673,0.356176525906568,1,-0.351745685514928,1,1,1.44434474712027,0.891852147673171,1,-1.23800446478975,1,1,0.215994210177583,1,1,-0.934083183321081,1,1,2.00173809815634,0.135938719878172,0.487780112504028,1.49099689269514,0.407886932154565,1
SLC7A2,-0.348992142258204,1,1,-0.733033991497416,1,1,-0.304074395836528,1,1,0.510366428964005,1,1,0.723847502234466,1,1,1.00413804231098,1,1,0.00707377768439656,1,1,-0.697923355308359,1,1
HSPB6,-0.539288354515177,1,1,-0.521899806885092,1,1,0.0231953059527752,1,1,-0.220998859736962,1,1,0.140908975632941,1,1,0.125375099105177,1,1,0.525683910241327,1,1,-0.0295378965319397,1,1
PDK4,-0.923467206336074,1,1,2.84804597700727,0.0263931414517836,0.781896997921558,3.3995715818952,0.00404949066392667,0.16132260290937,0.835568892110118,1,1,1.44401255006306,0.892412670784865,1,-1.20364155446028,1,1,0.318474296608176,1,1,3.07822805984154,0.00624706460519961,0.199030682517251
USH1C,-0.303469934549772,1,1,0.268109322656118,1,1,0.526003737319517,1,1,-1.24200137155555,1,1,-0.938366506748528,1,1,-1.3880437773822,0.990742290166379,1,0.818472612992146,1,1,1.02280693356146,0.919197417309228,1
RALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAIAP2L1,-1.29358403812515,1,1,0.290480189796488,1,1,1.49146238230155,0.815040842847647,1,1.16622529613616,1,1,2.02975553597714,0.254288368096883,1,0.928918865705143,1,1,0.470495010566398,1,1,0.729987574532037,1,1
CACNG3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM132A,-0.644423161058146,1,1,0.277524314252361,1,1,0.833797794041008,1,1,-0.515057095358052,1,1,-0.0162238766338671,1,1,-0.683510697599615,1,1,0.730392061582196,1,1,0.922140451636182,1,1
DVL2,-0.828363424098793,1,1,-2.92866387115168,0.0204253400908298,0.697904558912178,-1.86362737810966,0.374244300959387,1,-1.49515408954091,0.809245393068327,1,-0.773279836933369,1,1,0.753358822200286,1,1,1.33491408624812,0.545713400729563,1,-1.69581256558248,0.26976414614205,1
RPAP3,1.77721075441746,0.453201424043534,1,1.08874334952952,1,1,-0.695058022758089,1,1,0.11516071629376,1,1,-1.20898524366107,1,1,-0.677379880862256,1,1,-1.37642699557376,0.506068424879281,1,-0.195538928462225,1,1
HOXA11,-1.51023885766385,0.785894921023928,1,-1.26049883515727,1,1,0.21404816809806,1,1,-2.00996525144486,0.266609200324231,1,-0.824815222792118,1,1,-0.988074644236144,1,1,2.05678781584367,0.119119921809798,0.448447954510244,0.579148113450637,1,1
TRAPPC6A,0.438385158286011,1,1,0.54569729396554,1,1,0.0999021614825624,1,1,0.519821182321962,1,1,0.183747652384804,1,1,0.106638670055031,1,1,-0.565430254715756,1,1,0.0314242046577935,1,1
SPATA20,0.983048105501298,1,1,-0.0649747692725703,1,1,-0.981794762800005,1,1,-0.939990939208829,1,1,-1.61382958629454,0.639386371164231,1,-0.85609451077408,1,1,-0.298197352993165,1,1,-0.340805338141118,1,1
CD79B,1.17758987781501,1,1,1.0411460196389,1,1,-0.180663702206741,1,1,1.63405356175282,0.61348562692912,1,0.680826151401572,1,1,0.842566139171733,1,1,-1.64780924995516,0.298175460885833,0.806678654471095,-0.51325957388808,1,1
RHBDD2,1.41703427545719,0.938837439648037,1,2.47810207909077,0.0792500102394524,1,0.886544561252681,1,1,0.956196868001799,1,1,-0.107161850937013,1,1,-0.799216664757664,1,1,-1.52481772435931,0.381913703303358,0.938892043212679,1.01946098307785,0.923952501869603,1
RPUSD1,-1.60478840521575,0.651242271068123,1,0.484178143821697,1,1,1.9391861496715,0.314872052985253,1,0.204590854310506,1,1,1.35096139577438,1,1,-0.144591076984655,1,1,1.12234828710454,0.785143148237237,1,1.51452110893653,0.389681172478215,1
TSR3,2.06549148419006,0.23325912278313,0.949752128595805,0.78135672165874,1,1,-1.28841405750638,1,1,1.39097456907051,0.985398831328341,1,-0.226373206879565,1,1,0.803757240638743,1,1,-2.2241530803313,0.0784144398570668,0.338712459555309,-1.32803288074062,0.552501734371184,1
NDUFAB1,1.58624917153749,0.676096784807022,1,0.894256187780986,1,1,-0.683905447547281,1,1,1.63291090090236,0.614926422915711,1,0.38482395633949,1,1,0.935338340324348,1,1,-1.96475176861876,0.148328925000904,0.517874324933355,-0.928577787458502,1,1
YBX2,-2.70634747308801,0.0408166947615622,0.311261017500474,-1.54485921799376,0.734281918513567,1,1.04521579320281,1,1,-2.18129951090561,0.174967623495627,0.970925715672585,-0.0113665465721129,1,1,-0.875668178376487,1,1,3.03438384443555,0.00723082650759647,0.0695786009246304,1.15057949473442,0.749715818499153,1
ITGA3,-2.90228299053782,0.0222272234866631,0.212027854573833,0.633652408816086,1,1,3.26688993757719,0.00652415672791063,0.202613562978591,-1.86162380686542,0.375936811055635,1,0.400525525213312,1,1,-2.23544035340127,0.152330720200466,1,3.05661281708981,0.00671559669039946,0.066038167716995,3.42134386060595,0.00186937480054361,0.113112251036119
KRT33A,1.33633943728286,1,1,1.07024713366886,1,1,-0.322567479206468,1,1,1.67267852030269,0.566343599825043,1,0.62567994642065,1,1,0.896505562862402,1,1,-1.808113921704,0.2117663156287,0.646890928858094,-0.642447595640321,1,1
LRRC23,-0.115905911440802,1,1,-1.53595299258376,0.747299458603596,1,-1.26269471984822,1,1,-0.022663198030241,1,1,0.0631628367213923,1,1,1.07463797439121,1,1,0.0979637442299846,1,1,-1.41905034557137,0.46765301624644,1
TFAP2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRY1,1.26159028199418,1,1,0.708820149754114,1,1,-0.53980104137762,1,1,0.252385174809269,1,1,-0.636643595070618,1,1,-0.239804098083891,1,1,-1.09538850777489,0.820039400126118,1,-0.314705465223544,1,1
PGLYRP1,0.0868422749152489,1,1,1.87162543998315,0.367550647767089,1,1.55321371813418,0.722232510519084,1,1.46936621922187,0.850400908112695,1,1.31458214001342,1,1,0.189329187712814,1,1,-0.72827517913856,1,1,1.11582346291122,0.793493125327167,1
STARD3NL,-1.24561157481245,1,1,-0.663159587015138,1,1,0.558053240573297,1,1,-1.04085634779927,1,1,-0.132086901663051,1,1,-0.552569280234308,1,1,1.43500397068904,0.453857898331453,1,0.661746157574928,1,1
CD74,-0.622876195065851,1,1,0.0975477328733626,1,1,0.67567953844916,1,1,-2.2403299414448,0.150417064871156,0.886426380722044,-1.66840323525714,0.571414238827659,1,-2.228552613755,0.155062121582698,1,1.49860659089493,0.401927165648104,0.970601713504256,1.48970488779797,0.408905546611857,1
RPS20,-2.19110655676949,0.170664494192606,0.779928245845713,-1.18492138609245,1,1,0.738017056773526,1,1,-0.177046941573704,1,1,1.46371249878528,0.859635113960831,1,0.757304510680623,1,1,1.69256545006827,0.271614636437822,0.760419633280961,0.169206917742548,1,1
MGST1,2.37669023571579,0.104812506466892,0.574840072030488,1.93598435426344,0.317217703354027,1,-0.48284037697318,1,1,3.55568798031965,0.00226194768513502,0.077396170153534,1.58477939911573,0.678098787552046,1,2.00834723101747,0.267638437056224,1,-3.48300911239278,0.00148743446354776,0.0244206143982469,-1.26641435684704,0.61609432067083,1
CPA1,2.46767368975073,0.08159653611078,0.490167417565759,2.27304700815376,0.138140083752632,1,-0.278030337921681,1,1,2.28383475070083,0.134287467130496,0.831905589435433,0.414371379188562,1,1,0.637098162054999,1,1,-2.9312750835683,0.0101272114117898,0.0878941205583096,-0.487153055068506,1,1
SYPL1,0.691087372283088,1,1,2.61590829580808,0.053394272764545,1,1.77413525343017,0.45624468452468,1,1.42656465878553,0.92223250265579,1,0.847619437151113,1,1,-0.569392768075555,1,1,-1.17428174047034,0.720846583721442,1,1.56592519733855,0.352098390424855,1
RANBP9,1.99834955686278,0.274072657909218,1,1.57556127695186,0.690761676871095,1,-0.446182334709544,1,1,-0.127139793161365,1,1,-1.48716578982499,0.821826173950034,1,-1.17708625771522,1,1,-1.50617134099978,0.396069583330133,0.961013365461755,0.154211547118709,1,1
CD4,-1.29839061668855,1,1,-1.20443645887318,1,1,0.13087034707616,1,1,1.00086871021988,1,1,1.8664837573101,0.371842286765728,1,1.80106052650587,0.430160043109665,1,0.499914321729488,1,1,-0.719113223682579,1,1
PLEKHG6,-1.46463556683534,0.858122237109403,1,-0.979705429888995,1,1,0.491193677454453,1,1,-1.54345819367078,0.736317860905934,1,-0.354067168473205,1,1,-0.761729110005792,1,1,1.82154193209554,0.205573555934432,0.635187800303679,0.70883616285243,1,1
QPCTL,1.29405990001452,1,1,1.74002321876284,0.491129646046124,1,0.355151410147871,1,1,1.24349211505935,1,1,0.284227669767827,1,1,0.0222371628461553,1,1,-1.55905820814755,0.356947811651298,0.90059575234767,0.264757541898476,1,1
PPP5C,0.514514984560704,1,1,1.56301317094151,0.708296981490128,1,0.963447596302318,1,1,1.59337026018323,0.666462919846602,1,1.16819273140074,1,1,0.448871124052336,1,1,-1.08438072681831,0.834588076626817,1,0.564512497047739,1,1
UBR7,-0.952439696451171,1,1,-1.76076197594287,0.469672188500332,1,-0.645555353310553,1,1,-2.4043998144017,0.0971942743514806,0.686478297375751,-1.51845840968945,0.773393259286772,1,-1.05239918731305,1,1,1.87926254767457,0.180625958636482,0.586809511863833,0.0309691524894218,1,1
MAP4K5,0.76887552624067,1,1,-0.803546342717171,1,1,-1.43796844531754,0.902658045153566,1,0.995026367803557,1,1,0.412671489539281,1,1,1.50366644173116,0.796003644348594,1,-1.03484465624618,0.902224392511705,1,-1.72729243490652,0.252345471449177,1
ERCC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPRC5A,2.2453066294361,0.148490728486404,0.713211952384266,3.10062393560446,0.011586802782998,0.551752513476096,0.693937293907984,1,1,2.78986091307565,0.0316384132635342,0.363333018473573,0.992455374006235,1,1,0.460338001377394,1,1,-2.99684888909725,0.00818357683053959,0.0760859689709276,0.311905459655175,1,1
HEBP1,-1.22797789393122,1,1,-1.21559580924737,1,1,0.0355795593419486,1,1,-0.0182478116100476,1,1,0.840326215985604,1,1,0.822144033601677,1,1,0.966103028634115,1,1,-0.315041131337426,1,1
COX15,0.524956648312075,1,1,0.298830593700936,1,1,-0.220692249591237,1,1,0.719426684892433,1,1,0.297975815762683,1,1,0.477762819919229,1,1,-0.732307715002771,1,1,-0.376511414388379,1,1
MS4A12,-0.0406986249574543,1,1,1.98489730399193,0.282935390464832,1,1.62461578110463,0.625466714535131,1,0.910774590771911,1,1,0.857846642709449,1,1,-0.264492283832827,1,1,-0.392816625687489,1,1,1.38903627209402,0.494465161706032,1
XYLT2,-0.116912606925747,1,1,0.70543907534321,1,1,0.733040567387413,1,1,-0.156459944904235,1,1,-0.0623240305110091,1,1,-0.642032852812465,1,1,0.16195876384698,1,1,0.835513042246506,1,1
FTSJ1,4.1514409827316,0.000198233080165913,0.00867129635027211,1.19430572721209,1,1,-2.80664396031818,0.0300363229702684,0.471281218152746,2.86543788556285,0.0249859776272108,0.316464722989425,-0.359658608791479,1,1,1.89377332883921,0.349530619575304,1,-4.5072157247025,1.97051533089582e-05,0.00113293306725757,-2.94049257761122,0.00983072557193287,0.24442613449255
SCTR,-1.07808232355197,1,1,-1.49050066778963,0.816555846079485,1,-0.328024091234142,1,1,1.09515046686568,1,1,1.79707195707692,0.433945181902855,1,2.09130646795171,0.219003602374151,1,0.317330874064646,1,1,-1.16807218347526,0.728332948609726,1
RALBP1,4.65590302675924,1.93538245179251e-05,0.00177016687663949,1.47239248038753,0.845489535542582,1,-2.96220136510137,0.0183268771004432,0.364593045764785,1.07668696600351,1,1,-2.28067357981597,0.135406618087484,1,-0.0054404864888405,1,1,-4.07066488765648,0.000140637437571934,0.00465057956868986,-2.24126552080438,0.075026642851863,0.640051053231982
SYT13,0.429915150383689,1,1,1.35913864976768,1,1,0.823909866861923,1,1,-0.155056383584358,1,1,-0.447346325086395,1,1,-1.08167581962903,1,1,-0.26533045171917,1,1,1.09078261664283,0.826105641805389,1
SNAI2,-0.519190031963969,1,1,0.767051289490859,1,1,1.15288664287023,1,1,0.691886689891637,1,1,1.00146493386694,1,1,0.125074325644886,1,1,0.124045315347597,1,1,0.853387700720741,1,1
SLC7A9,3.30590703315694,0.0056801695431974,0.0888451961918258,1.38649582303282,0.99357332905933,1,-1.83982289135923,0.39476546110206,1,3.09326624488271,0.0118779865154026,0.202668989485789,0.569210042017953,1,1,2.00710208594435,0.268432765066368,1,-3.9494180740915,0.000235024253985389,0.00674335364303012,-2.26617439374088,0.0703221233275763,0.618037533630956
RTF2,0.303709453987976,1,1,0.443162345975294,1,1,0.114094302913537,1,1,0.9897062186105,1,1,0.712707524548318,1,1,0.636560525264945,1,1,-0.687084978713535,1,1,-0.191527147417289,1,1
RB1CC1,0.306928824803831,1,1,1.61427939861691,0.638801019611138,1,1.17620887990278,1,1,0.811945066486224,1,1,0.53669953191377,1,1,-0.407734757017508,1,1,-0.612131869092634,1,1,1.04806581206673,0.883824859025485,1
AKAP11,0.0213083491806881,1,1,-1.2160450287476,1,1,-1.09452678636262,1,1,-1.89069362523954,0.351991523493948,1,-1.77583481824687,0.454560881963816,1,-0.945314859906089,1,1,0.879696518636634,1,1,-0.383308830798724,1,1
B4GALT7,0.0122039872357233,1,1,0.107056059661414,1,1,0.0815268051061011,1,1,0.318970064943467,1,1,0.287260782046905,1,1,0.234798759371838,1,1,-0.159715997460575,1,1,-0.0454445560820271,1,1
FAM13B,5.06546941921247,2.4443710703004e-06,0.000452661309314889,2.37791810350835,0.104464153829172,1,-2.54412334260401,0.065731435513252,0.715115529079913,2.90823093223036,0.0218087888958699,0.292805405271107,-0.720295651721725,1,1,1.18655072081728,1,1,-5.26273805877198,4.25777145904188e-07,7.34392166831982e-05,-2.45872822565327,0.041829036876068,0.488472005729397
CHPF2,0.184910923950703,1,1,0.14810243658307,1,1,-0.0392848812558654,1,1,-1.50577720496306,0.79274626148039,1,-1.55721648291182,0.716514577521618,1,-1.55370664472032,0.721526444239364,1,0.513555095053027,1,1,0.620777547558286,1,1
GABARAPL2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYOC,-2.06945476708537,0.231020590561648,0.94371156275183,-1.12506059147871,1,1,0.933375285159117,1,1,-3.3911261114763,0.00417636384863153,0.113063366429198,-1.61672663252452,0.635623814574318,1,-2.42757488277648,0.0912008916157949,1,3.20690127275754,0.00402519102411884,0.0467181032745654,1.81164956142068,0.210121085267485,1
FAM136A,0.79110629438218,1,1,0.0451110345399328,1,1,-0.660128883653794,1,1,0.895181878686514,1,1,0.364319255345119,1,1,0.819208151387967,1,1,-1.00521802995665,0.944375625582171,1,-0.831579046159703,1,1
NSMAF,0.0500156521479824,1,1,2.00843181918526,0.267584546876261,1,1.77127234733739,0.459092541268338,1,-1.5760606731024,0.690070927062207,1,-1.51595406758826,0.777185803678506,1,-3.00416964581359,0.0159784073268145,0.82729120305903,0.725323664248406,1,1,2.66959840596102,0.0227826048895049,0.37445319712148
OTC,1.56062801544789,0.711669267965998,1,1.85515505406082,0.381444527401219,1,0.24501605913951,1,1,1.02163441724378,1,1,-0.148878590716052,1,1,-0.340823168509063,1,1,-1.65548271529099,0.293479859164388,0.798541934110755,0.331281803561094,1,1
TTC17,0.181782402888378,1,1,0.0814284311188221,1,1,-0.0939037404533219,1,1,0.838766309454971,1,1,0.671899906602165,1,1,0.747935762034544,1,1,-0.505188443229527,1,1,-0.378695599431766,1,1
HOXC8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRI1,1.71257904352457,0.520740068417703,1,0.320225579397872,1,1,-1.32856522218539,1,1,0.10202170848582,1,1,-1.13387991598104,1,1,-0.125274665579427,1,1,-1.3508760074623,0.53020546504569,1,-0.942320331593704,1,1
TARBP1,2.68237779150474,0.043860512996095,0.327480186630873,0.919418593058029,1,1,-1.68652148080226,0.550172407433125,1,0.288276256791461,1,1,-1.68899455526216,0.547322840238636,1,-0.381965265029344,1,1,-2.15616687614315,0.0932119110082602,0.380195144493056,-1.08093778055415,0.839174374193478,1
RTN4R,-1.29675975293751,1,1,0.205603795777222,1,1,1.40721387580373,0.95618386976237,1,0.116942903698558,1,1,1.07133423883703,1,1,-0.0371260716486304,1,1,0.915321384064264,1,1,1.05513691868143,0.874088128064829,1
PSMA4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZPBP,-1.59149824052934,0.668984946477362,1,1.15958348090932,1,1,2.54374423501755,0.0658028134364412,0.71524797213523,1.06840859694844,1,1,2.17382835877731,0.178308167586389,1,0.182838842967101,1,1,0.728361024846826,1,1,1.82815328229306,0.202579650549937,1
LCP2,-0.265947927412429,1,1,0.98501924969156,1,1,1.143704982053,1,1,-0.219681359855001,1,1,-0.0209728225221231,1,1,-0.894344992440735,1,1,0.303293188978396,1,1,1.25540510804487,0.62799520794354,1
DCN,-1.36591938935466,1,1,-1.69463638659198,0.540866520153415,1,-0.276921154978411,1,1,0.849052692619392,1,1,1.7423074105071,0.488728004523864,1,1.96473314879104,0.29667078696621,1,0.696948859217207,1,1,-1.02792994895529,0.91194834153122,1
TNFRSF17,0.284233752777762,1,1,0.567059560978273,1,1,0.247872755020448,1,1,0.203560417342817,1,1,-0.0060142586390741,1,1,-0.192861368457448,1,1,-0.309611148260306,1,1,0.272575028497798,1,1
MRPS10,2.48603431910469,0.0775053046185749,0.47510403321562,2.12698613054391,0.200527413567994,1,-0.387559898337653,1,1,3.19462310466011,0.00840081342642026,0.166660581705623,1.07114926806492,1,1,1.41628453882148,0.940153276583153,1,-3.40467377599819,0.00198729412316659,0.0293473874087861,-0.946781765316496,1,1
GRN,2.92579657330896,0.020614531201049,0.204104829632307,1.11969911275179,1,1,-1.72232861164068,0.510060045262937,1,2.82741396726675,0.0281553735540674,0.337107587026201,0.553634091735824,1,1,1.91944329901143,0.329569533830406,1,-3.52940796475719,0.00124947162631083,0.0216652356938751,-2.13758636545893,0.0976509879401432,0.719014094715304
THAP3,0.215390313694166,1,1,-0.18083374223575,1,1,-0.35987650866826,1,1,-0.665292631609568,1,1,-0.772821573316894,1,1,-0.509857646663136,1,1,0.166843203615833,1,1,-0.0214203199051028,1,1
VAMP3,-0.489626707151132,1,1,1.21288919106233,1,1,1.5560088183074,0.718235972759233,1,-0.429209321727556,1,1,-0.0572772369770337,1,1,-1.26720732939346,1,1,0.569200242300842,1,1,1.72049007011059,0.256030191409434,1
RCN1,0.172257258497447,1,1,0.74413753226528,1,1,0.517871856733694,1,1,1.58810867310353,0.673570604640318,1,1.39946965664852,0.970033148188157,1,1.038294093133,1,1,-0.811455095569987,1,1,-0.0215510103443481,1,1
RFC2,2.29876310811732,0.129110368575303,0.653843811880613,0.208307807419796,1,1,-1.94451705399277,0.310998785486318,1,0.73095920061574,1,1,-1.06335038998207,1,1,0.537938507311993,1,1,-2.03812448090561,0.124612456401584,0.461142915107811,-1.6496427718156,0.297048064288531,1
PPP1R3F,1.44705682068399,0.887286060830533,1,0.803292974355629,1,1,-0.674910861550401,1,1,-0.259622412033646,1,1,-1.32340826926459,1,1,-0.831338097952911,1,1,-0.942295754286087,1,1,-0.0997123867280292,1,1
NFE2L3,5.21460531149819,1.10525416722261e-06,0.000243806066299106,0.552208437182491,1,1,-4.40717123090951,6.28376362500606e-05,0.0145331579159547,0.836418579805945,1,1,-2.9731685956231,0.0176845502842117,0.531541177267606,0.416393629210698,1,1,-4.35160980464882,4.05424834502957e-05,0.00192525476789601,-3.49193030564721,0.0014386300643711,0.104290254811366
CBLN4,-2.51222262271373,0.0719840267381985,0.454062405833885,-0.986116499388512,1,1,1.33335836387868,1,1,-1.27918358383473,1,1,0.461078293284114,1,1,-0.526975560404276,1,1,2.52528881805868,0.0346809714900508,0.202420326013109,1.25111190881162,0.632680953907115,1
CLDN11,-1.51419297986421,0.779861410051145,1,-0.0822078077919252,1,1,1.31239954979587,1,1,1.26744731881826,1,1,2.22771193569739,0.155398383473797,1,1.25364032374973,1,1,0.52617133789071,1,1,0.391886960953135,1,1
FAM168A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RELT,-0.224170260605576,1,1,-1.12950825843352,1,1,-0.794578977653893,1,1,0.356067765349924,1,1,0.497242592771568,1,1,1.15076477780739,1,1,-0.00171803911430845,1,1,-1.11260215255298,0.797638006706069,1
PKP2,-0.958355526787226,1,1,0.124174382291746,1,1,1.00417752194949,1,1,0.495228423996325,1,1,1.17223661809031,1,1,0.383175480146779,1,1,0.46715860024227,1,1,0.550292291031828,1,1
YIPF1,2.09162517616015,0.218832351519887,0.912308302612091,0.906129286745014,1,1,-1.15907700163853,1,1,0.0741569165490233,1,1,-1.43043649670426,0.915550677848563,1,-0.566817202932357,1,1,-1.64210139392308,0.301706978590813,0.812383800598194,-0.639503801772658,1,1
ADCK2,1.26222735184238,1,1,1.34363543619235,1,1,0.0138547498075323,1,1,1.30206106853608,1,1,0.249357178208829,1,1,0.245071298119216,1,1,-1.56283962244232,0.354270965946426,0.896037437214237,-0.106941977184205,1,1
INPP4A,-0.674590133226328,1,1,1.53576131783891,0.747581580551358,1,2.00237972419223,0.271463444770756,1,0.22178444491511,1,1,0.692655755184726,1,1,-0.870699098123092,1,1,0.411146158756043,1,1,1.88402688278623,0.178684017782405,0.945813963296538
SLC2A3,0.262815653943676,1,1,0.706174436623197,1,1,0.397598128923783,1,1,0.279600939782239,1,1,0.079486792533795,1,1,-0.225582135872677,1,1,-0.32767931630193,1,1,0.398508108514023,1,1
STYK1,0.823836822279462,1,1,1.64079353977302,0.605041678520029,1,0.700153827074401,1,1,0.832687883973618,1,1,0.182631746797021,1,1,-0.372024972525509,1,1,-1.01364453793953,0.932257192569868,1,0.68623790038179,1,1
GNA11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CREB3L3,3.09616588689332,0.0117624392210621,0.141149270652745,1.26503228481479,1,1,-1.5590877415966,0.713853687609292,1,1.12346750313838,1,1,-1.25784460982745,1,1,0.0673125207015978,1,1,-2.83312987841827,0.013828396024548,0.108928562070534,-1.15615374412467,0.742854828445946,1
HDAC7,-0.510543019224085,1,1,-1.71539218519678,0.517640083320749,1,-1.05970200517142,1,1,-0.792284739893976,1,1,-0.367709216509969,1,1,0.474068846142647,1,1,0.756416933701736,1,1,-0.997686290846384,0.955294508856013,1
MRPS35,2.92530529633093,0.0206471064294736,0.204239942468211,-0.555582188806326,1,1,-3.25169984855591,0.00688302575200675,0.209848346097767,2.07711272714053,0.22674693713258,1,-0.198219554900008,1,1,2.40026059286993,0.0983004227316003,1,-3.16641203348055,0.00462996049883584,0.0513884521046825,-3.48684631927607,0.00146625637288794,0.104543096948634
APPBP2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
