,Background...Carnivore.Rho,Background...Carnivore.P,Background...Carnivore.p.adj
KCNQ1,-1.3998744833104,0.161550908361715,0.364696143076881
TRIB2,-1.36194809835315,0.173214265304045,0.381015638879011
OTUD5,-0.506210925972064,0.612708585681844,0.785380530466106
GPKOW,1.58436695214936,0.113110237896455,0.294110089443021
AQR,-0.865413689248664,0.386811770110682,0.610078517637332
LMCD1,0.310816111160705,0.755940420980752,0.872644112982591
PSMC4,NA,NA,NA
FNDC8,0.392862910149668,0.694420736947927,0.836629417655138
ACAP1,-2.37587866873304,0.0175072185036668,0.0913449148645518
DERL2,NA,NA,NA
NOX3,2.15070502097336,0.0314994898136501,0.133315345464964
ANO8,1.53946094227586,0.123691806027801,0.310821137573536
ICAM3,1.75614147294757,0.0790642551667315,0.235984359853541
CTTNBP2,0.730522622381471,0.465070790097256,0.675678209728738
ACTL6B,NA,NA,NA
KIF22,1.69157365590909,0.0907272929810414,0.256567253150199
PRSS22,0.353175049457507,0.723957211810075,0.854166031931007
YTHDC2,-2.9368835860945,0.00331528530532046,0.0305278292321517
TMEM161A,1.50382810487479,0.132625632630488,0.324740402405176
FOXJ2,1.23249557836043,0.217764017322242,0.434298950896641
GOLGA5,-0.500920811093105,0.616426855460774,0.78793017898365
PPP2R5B,-0.45604113581892,0.64836039785873,0.809347111290198
PYGM,-3.01103255075442,0.0026036094023613,0.0260309289155405
BCL3,2.26872100037106,0.0232852977028602,0.110734035913317
PRLH,-2.08471366183127,0.0370952997959983,0.147644791697307
FSTL3,1.11320364788216,0.265620976336732,0.489863986683707
EPHA8,0.149748622969137,0.880962945082451,0.944530467394283
TRIP13,-1.3579196919937,0.174489168148818,0.382194737941065
VASH1,-0.135455176715837,0.892252001357462,0.949861475710595
KRT14,-0.690269396146046,0.490024789742056,0.694731181041316
KRT20,-4.55902236576076,5.13922985365997e-06,0.000354488987658188
HSD17B10,2.6690770131133,0.00760600081643527,0.0534196330110869
FGF4,0.451835101589452,0.651387780313403,0.810980217287521
ST6GAL1,1.07649610684489,0.281705441106366,0.5095026122103
TIMM21,0.548156508329722,0.583584442371692,0.765166952417506
BPIFB2,1.11943063575304,0.26295646735785,0.48710509320608
REXO1,-1.84442723866103,0.0651209007003556,0.210404594720938
MKRN2,2.03178896347431,0.0421750249682757,0.160472128149788
GPATCH1,1.23202514080205,0.217939692918667,0.434442573685782
KEAP1,3.04005186029346,0.00236537415015161,0.0245394087095179
P2RY10,0.861277665990651,0.38908513336955,0.611846026932359
TNS1,-0.715929570796225,0.474034838167738,0.682366623904277
NGFR,-0.409398933293558,0.682246922343842,0.829273863979011
NTN1,-0.241218666122254,0.809385644510434,0.902404681285934
ISOC1,1.63009251846431,0.103081944708403,0.277735746744356
MNT,-0.0861132970025949,0.931376353411275,0.967320494711726
AP3M2,2.45106215210691,0.0142435356860287,0.0796796790837937
LAPTM4A,-1.13171135855364,0.257755804600838,0.480639141094097
PTPN18,-1.06219388240671,0.288147676507525,0.515372293332188
STK10,1.85759489683033,0.0632265637683292,0.206189078157529
TBX21,1.14903504565731,0.250541530005884,0.471867859055421
MRPS34,-0.105033828597039,0.916348965833255,0.961363877045072
MAP2K5,-0.048657357282277,0.961192359555476,0.981407671906966
TIGAR,2.70772084115469,0.00677469807814029,0.0494040421925293
FGF20,1.87048002300575,0.0614171885967988,0.202572990772113
MTMR7,-1.03492333357656,0.300704716631152,0.528482564747853
CPB2,-0.149234233524729,0.881368807993686,0.944554609367244
FAM107B,2.13424277181335,0.0328229131526302,0.136909332892122
CDK13,-0.131448506481934,0.895420518893083,0.951012737858122
TSPAN32,0.867857788966091,0.385472189383777,0.608982291708808
TRAM2,3.6112396895423,0.00030473685708315,0.00586725751595304
CLDN18,0.0643933084992662,0.948657058014786,0.975585078680839
NDUFB4,4.34224168419942,1.41036261904052e-05,0.000741525269318613
HEATR6,3.23193288009633,0.00122955933401736,0.0153562157023415
ERLEC1,2.54071961348708,0.0110624594569082,0.0673193860192344
TMEM131,0.710187980140696,0.477587573607463,0.684780313267351
TMEM38A,1.30591194687939,0.191582503351973,0.402856398112658
ACTR6,-1.11451393379905,0.2650587701791,0.489461958391641
FAP,-0.738677143815436,0.460103067881782,0.672162618453158
DMRT3,-1.82460063601487,0.0680613173835388,0.216143195247365
GAL3ST2,-1.04469238603839,0.296165164968461,0.523810348815661
UHRF1BP1,3.09764855219555,0.00195062605356318,0.0215356563637515
OSTM1,-0.011965889355213,0.990452829459048,0.99568386124988
SLC13A1,1.44395886711405,0.148750546066561,0.347701222011951
HSPB11,1.6812776964531,0.0927089879909162,0.260135296215601
STRADB,2.22630974978884,0.0259934408674942,0.118336267778015
DLG3,-1.90210030909064,0.0571580420754681,0.193273100672096
PLOD1,-0.828533769870263,0.40736827832632,0.628201907619001
OXCT1,2.32730304531459,0.0199491418124199,0.0994942770923245
FAM234B,0.72839217684888,0.466373550810092,0.676916899954764
RRN3,3.44632944109421,0.000568257147275708,0.00901358937087006
MOGAT2,0.35755880184171,0.720673513935385,0.852282157219535
CHERP,0.787010240965846,0.431275871218104,0.64935368734421
AQP2,1.04170915760059,0.297546541981793,0.524920987104062
DIMT1,-0.417561651167994,0.676267639971787,0.825140904110335
EIF2AK1,-0.618440746248094,0.536284845541643,0.729190272394402
NME8,3.43967283370474,0.000582417776213487,0.00917048806379289
EPDR1,-0.495396158630768,0.620320505752145,0.790622092303357
HBQ1,-0.189004080879117,0.850089618359579,0.926692590348919
RBM22,NA,NA,NA
HSD17B2,3.19676894013422,0.00138976203312724,0.0166649535024994
ZW10,-1.26893108987084,0.204465642629094,0.418990170102709
ITGB4,-5.08812297868486,3.61624849778208e-07,5.85161301759279e-05
TRIP6,0.624102640787544,0.532560179743791,0.726480083043158
ADAM11,-1.65572960722965,0.0977765886862672,0.269337814970894
SLC22A4,1.90610426162374,0.0566366799127916,0.192158338413504
TFAP2C,-0.031517930618093,0.974856492682947,0.987464943110372
SULT2B1,1.24951866527099,0.211475430929454,0.42678245267564
EPS8L1,-2.12513749182094,0.0335751419842753,0.138852973052131
REM1,0.49399314016118,0.621311024141511,0.791280924029465
PDRG1,0.714991264717544,0.47461444096141,0.682710030336682
PPP1R13B,-2.98920403791947,0.00279705279259921,0.0272177482020894
TGM6,0.0628391152788541,0.949894617913863,0.975953958457552
RALGAPA2,-0.614181570516356,0.539095350332219,0.731116626738904
RPL6,1.73800142909942,0.0822105619628243,0.242249700222416
ESF1,1.34694075947084,0.177999312859269,0.387068064709302
SLC8B1,-0.270593084490484,0.786704015244041,0.89083305621802
SIRT4,0.351989889579399,0.724845844839419,0.85432724320821
TRMT6,2.74876978792286,0.0059819383745812,0.0456832947377235
HAUS5,2.39403819533515,0.0166640133558505,0.0882338441485661
UQCRC1,2.18430334425585,0.02893996520165,0.127078917195745
GMIP,3.32811745483576,0.000874349947280584,0.012039926883936
LAG3,0.856378949693374,0.391788204397609,0.613966421629587
OTUB2,-0.716022389047617,0.473977524384486,0.682366623904277
TFAP4,0.410259694186099,0.681615455557641,0.828984836838917
PDCD7,0.341012187998207,0.733094406413181,0.858865647778341
SPG21,0.985995768525415,0.324135189315288,0.553300129609943
CHRD,4.03702945754377,5.41322739708101e-05,0.00180484923214872
GNPTG,0.717266212110641,0.473209851185748,0.681890179134935
EFNB1,-1.49779644804799,0.134186143952803,0.327031130291933
GLG1,3.50332904263117,0.000459481492177446,0.00780703186200254
DLL3,1.0386642894809,0.298960894806667,0.526525530007948
NAT14,-1.29378985699659,0.19573801717444,0.408623152054984
AASDH,3.65699027841853,0.00025519405513021,0.00519754664708743
DLD,-0.243069360607483,0.807951666199093,0.901366380745265
ABCC6,1.99558879075149,0.0459787006310807,0.16871293074358
CMTM6,0.03605107597215,0.97124163266257,0.986222875089279
APOH,0.37958815437635,0.704251155268606,0.842530008874693
SPAG7,-0.497629607921959,0.618745131086514,0.789618139365858
RGS17,1.18963568976465,0.234189611944191,0.45409147214399
CCDC80,0.125233688811619,0.900338547366229,0.953127377032325
HAUS4,-0.0338473066807207,0.97299891226156,0.987045759978923
CEBPE,0.154391086024377,0.877301381714047,0.942587391985395
OSGEP,1.09880267918956,0.271854143347875,0.497428906488439
TGM1,-3.54652202347324,0.000390352113368747,0.00695465015251878
TEKT2,1.79632651887433,0.072442602683425,0.224232074217921
XYLB,-0.810327928386266,0.417751727938321,0.63670512193478
ADH7,0.0717547309852417,0.942797099346229,0.972575867959692
KRT23,-1.13005262321033,0.258454051239106,0.481312096610114
CDC6,3.39564236244144,0.00068467757569467,0.0101433465080993
AAAS,-0.0898795347333846,0.928382944236557,0.966430898752863
CBX5,NA,NA,NA
KLHL20,NA,NA,NA
FMO2,1.33779739917791,0.180962489946831,0.390967379501509
RAB26,-0.556123498156199,0.578126432391867,0.761514306849937
PSMD5,0.39154931443007,0.695391244563291,0.836944636891643
NANS,-0.72266895519466,0.469883292959116,0.679126785488873
SEMA4G,1.65170786696581,0.0985941181759784,0.270694632574532
MAPK13,2.17214236837926,0.0298449260861721,0.129245986155617
TMEM14A,1.23189873637199,0.217986913510622,0.434442573685782
PRRT1,-1.64736045767012,0.099483977963973,0.272434998478285
ZNF184,-0.0248552737404407,0.980170402585752,0.990003282306808
VCL,0.178099999289936,0.858644442590041,0.932363042808912
SIRT1,1.57055910308216,0.116285095787758,0.299722143531113
TGFBR3,2.29768680233176,0.0215796212421597,0.105013839682316
TMED1,0.763540964171458,0.445140841791278,0.659986475844552
OCEL1,2.60255649776723,0.00925315676340306,0.0603905027132343
PSMD8,1.8784880669964,0.060314427986272,0.200563479351962
STX1B,NA,NA,NA
EFNA2,1.34992490433531,0.177040072280987,0.385497394998684
FGF22,0.289298975663563,0.772352596122676,0.882663827814693
MARCHF2,0.501919030782033,0.615724477946577,0.787523857172482
NDUFB7,1.08664730586245,0.277192710046668,0.504190973868604
TIMM13,NA,NA,NA
CDC34,NA,NA,NA
GADD45B,1.0592785528989,0.289472939443604,0.516960165132242
MAPK12,-1.33679564893914,0.181289349857565,0.39144858612984
SERPIND1,1.88173564025269,0.0598719181131916,0.199621736733495
SNAP29,-0.769287171595561,0.441722851047043,0.657186752863796
THAP7,0.678727714588172,0.497310402347188,0.701308873684203
MMP11,1.70077039763709,0.0889861100088481,0.253809585774478
MIF,1.88519739002402,0.0594031930782845,0.198410887231933
SF3A1,-0.550612569172361,0.581899290705769,0.76380616421016
USP18,-0.278042974977857,0.780979369603227,0.887559586773549
SEC14L3,0.170627416127979,0.864516739092623,0.935621539630313
SNRPD3,-2.52073477689328,0.0117110084894162,0.0696041243697038
MAPK1,NA,NA,NA
TCN2,1.57074376655857,0.116242178668065,0.299662890559181
CRYBB3,-1.69367144656226,0.090327733181955,0.25608184838934
SLC25A1,1.86476733000802,0.0622140244898743,0.204110311876687
PLA2G3,2.1506952586521,0.0315002608523654,0.133315345464964
LGALS2,1.98144599853148,0.0475412796348245,0.17233792502012
PDXP,2.74015255657244,0.0061410672510322,0.0464269624201967
ASPHD2,1.74498368631226,0.0809877087102681,0.239868460877743
LGALS1,0.671460319116134,0.501927329910552,0.70445212648425
PIK3IP1,1.99102952952986,0.0464776409040796,0.169508679668844
SRRD,0.545837552970477,0.585177607083217,0.766691267553397
ANKRD54,-0.803567632457443,0.42164672252098,0.640333237102345
MICALL1,2.21720462919983,0.0266091114032447,0.120373901874353
CENPM,0.716693343132777,0.473563334283642,0.682141359290516
DMC1,1.25677249649639,0.208836027946998,0.423730583219404
HSCB,3.29153190670049,0.000996433127312945,0.0133050334317121
CBY1,-1.31978042221916,0.186908339942087,0.397474290441119
TOMM22,-1.12507760166179,0.260556151749411,0.483940569893268
RSPH14,3.75035150581631,0.000176586854838999,0.00409142763669343
RTCB,-0.683392843938116,0.494358640669965,0.699326331980324
JOSD1,0.442025078174383,0.658471058677206,0.814396225475337
GTPBP1,0.4864742624935,0.626630949098628,0.794959046789511
PPP6R2,-2.13724981862779,0.0325776779840919,0.136380972145054
DNAL4,NA,NA,NA
C22orf31,2.89960644806884,0.00373631453656836,0.0332050600983324
MIOX,2.40077545627958,0.016360372194075,0.0873618312082053
RHBDD3,1.3067577430287,0.191295000817098,0.402643800232368
RASL10A,-1.02171489828377,0.306915857697142,0.535766630159266
HMGXB4,1.81093356367841,0.0701511363160975,0.219763049330241
BIK,1.67851182920595,0.0932472231361467,0.260963799422713
HMOX1,0.260662728773049,0.794352610742167,0.894799626019175
NIPSNAP1,0.808980694702837,0.418526250829059,0.637497896446167
MCM5,-0.067013066562768,0.94657130097175,0.974636582628883
ARSA,0.338009190852529,0.735356261698709,0.860108284626904
RASD2,1.13299915405116,0.257214608564483,0.479877588650385
TTLL12,-2.80884687285725,0.00497192888745914,0.0404360798262622
CBX7,3.55836164111519,0.00037317527891262,0.00677709742633945
CABP7,NA,NA,NA
RPL3,-1.03837191972066,0.299096937400169,0.526671066573993
TAB1,-0.0808091496101833,0.93559373153298,0.96857300799046
PNPLA5,-0.874143287362015,0.382040226319287,0.605666630166097
MYH9,-0.649095325136824,0.516276763332312,0.715748918088793
TXN2,1.28540434879644,0.198651022329957,0.412699008396734
EIF3D,NA,NA,NA
PVALB,-0.312486960814658,0.754670471051055,0.871781506736937
UPK3A,1.17524151316526,0.239898106186143,0.460473298790022
FAM118A,-1.48127082859649,0.138534418695989,0.332664013722707
ST13,1.47813021086919,0.13937292920154,0.333877765875986
IL2RB,0.464194257197546,0.642508575296282,0.80644639557157
RBX1,NA,NA,NA
L3MBTL2,1.85472589375969,0.0636353791504805,0.207342404395618
CHADL,-1.5555345236834,0.119818818955592,0.304807237461554
PHF5A,2.92879412925292,0.00340279716817286,0.031105082685602
PMM1,-0.205628672483602,0.837080978713419,0.918864578428982
CERK,-0.0448972112147067,0.964189239733141,0.982900477774079
ZBED4,-2.55121428345341,0.0107348301727814,0.0661014279228617
HDAC10,-0.279357895969288,0.779970179434786,0.886970550416764
RIPK3,-0.488830563960878,0.624961657660477,0.793724367338982
PAPOLA,-2.10798678304733,0.0350321327005717,0.14246447424095
HSP90AA1,-0.960403733664544,0.336852059727638,0.565536342465431
SNAPC1,2.57177583084685,0.0101178381320492,0.0636739665997114
SUPT16H,1.31542915816666,0.188365711377172,0.398825007318858
FKBP3,1.32610689454596,0.184804292752266,0.394954825201226
COCH,2.13000936242334,0.0331708404220387,0.137711189239701
AP4S1,0.493256215470909,0.621831561506276,0.791463192816615
POLE2,0.0883625650624619,0.929588513627368,0.966755177724823
SOS2,2.77500597405486,0.00552006938293568,0.0433901115061181
PYGL,1.33648379656971,0.181391193190128,0.39155603962101
GNPNAT1,1.28362337719536,0.19927376609294,0.413466135376498
CGRRF1,1.77495459936809,0.0759053838839327,0.230165206183242
ATP6V1D,NA,NA,NA
CCDC198,1.8780102356467,0.0603797648613532,0.200603297441487
PLEK2,-1.16163507444819,0.24538372856954,0.46606481324999
PIGH,1.26801754212572,0.204791686114717,0.419372543116845
PSMA3,NA,NA,NA
TMED8,-0.626775910617422,0.530806136232053,0.725423464058526
AHSA1,0.853243659344941,0.393524196624819,0.615888242672906
SPTLC2,0.995861173167446,0.319317602637037,0.548013141311405
RIN3,-1.02110619225462,0.307204129656373,0.536140582976292
ALKBH1,2.1853873279068,0.0288604592119825,0.126856102066817
DHRS7,2.58983735811272,0.00960212862492237,0.0618095925226702
SIX4,4.06960979354346,4.7091943336455e-05,0.00164871985413626
SLC10A1,3.39517326785136,0.00068585180974271,0.0101507417943909
EIF5,0.69540573634001,0.486801066652854,0.691813806724301
ZFYVE21,-0.710235488011634,0.47755811742865,0.684780313267351
BDKRB1,-3.08763352723834,0.0020175710865271,0.0220161222264935
VRK1,-3.05919763456691,0.0022193068946999,0.0235312543558351
PABPN1,NA,NA,NA
EFS,0.717410625653654,0.473120765162741,0.681839845289643
CINP,-0.724672600412311,0.468652908116272,0.678653098935322
PCK2,1.23461468710201,0.216973940261004,0.433354109251855
NFKBIA,-0.964704027413818,0.334693077459698,0.564183803292405
EMC9,-0.378791912327557,0.704842393659676,0.843108350446309
BRMS1L,NA,NA,NA
PNN,-1.46499570668683,0.142922089105708,0.33887093249488
RABGGTA,0.0553050612384045,0.955895430054513,0.978941604694525
CYP24A1,3.74638173619754,0.00017940352218875,0.00413756252017213
ZFP64,0.634615425613736,0.525679265075761,0.721588700309625
PYGB,-1.24150654777086,0.214418680828434,0.430158729137414
PROCR,-0.267288259678458,0.789247225460032,0.892235996544669
MYBL2,0.011810159354648,0.990577075242191,0.995697308369318
R3HDML,1.48916914528353,0.136442833519456,0.329906880146656
PABPC1L,-0.372023161796989,0.709875604447691,0.846033087428067
SALL4,1.11705024507535,0.263972842473872,0.488230607066654
CSTF1,NA,NA,NA
TPD52L2,-2.05326849094596,0.0400465450077752,0.155081096389883
CTSZ,-1.4293065585083,0.152916141787558,0.35391719625358
TUBB1,-1.07340410247338,0.283089844646712,0.510869905402592
SLCO4A1,-1.82072754577386,0.0686482827891692,0.217090268832963
UBOX5,3.7788897052225,0.000157529173621802,0.00374212667259247
EEF1A2,NA,NA,NA
SRMS,-1.85655612541088,0.0633743309586424,0.206616904133107
C20orf27,1.37340255462124,0.169627236046528,0.375708461987279
SLC52A3,1.10361165108114,0.269761634902669,0.495348113815049
RSPO4,0.677122004142686,0.498328548865749,0.70188894616844
PROKR2,-0.00913810606548091,0.992708947728714,0.996685881484721
FERMT1,0.338803744886504,0.734757579952144,0.859848685570805
TLDC2,-0.591836574957515,0.553960028721689,0.74301105627402
SNTA1,-0.316346033477865,0.751739874119272,0.869819000508257
OXT,-0.433631780947822,0.664555852517989,0.818308065370585
CHMP4B,-1.27605559882677,0.201935865755452,0.416473681712349
LBP,1.79952337754394,0.0719359293519923,0.223123054799073
SLC32A1,-1.24807647540351,0.212003052333502,0.427331085514593
AHCY,1.78843863257525,0.0737052681514566,0.226415958568632
ACOT8,1.96462274999931,0.0494579168707114,0.176440971763912
APMAP,-1.68233859146009,0.0925032018263383,0.259800270052792
RNF125,2.12892884582587,0.0332601477927596,0.137815608255642
IDH3G,0.322873483667946,0.74679105866744,0.867209602995003
SLC25A43,0.319432212893761,0.749398786925502,0.868368183354161
MXRA5,-1.80461437331777,0.0711350473023766,0.221765996381636
VSIG1,-1.35949440292614,0.173989974889586,0.381750114998671
PSMD10,0.507525774463523,0.611785956358538,0.784915647749226
PGRMC1,0.329281989218041,0.741942556269991,0.86404818917533
NXT2,-0.267512801672822,0.789074358916783,0.892235996544669
GUCY2F,-0.711167065383124,0.476980714854795,0.684712077257427
ATP1B4,1.72798710935915,0.0839905354908528,0.244855696428064
TLR8,-0.626765512704277,0.530812953051537,0.725423464058526
GLRA2,0.570222825894353,0.568526576334374,0.754227921911493
STAG2,0.765888681622085,0.44374254106795,0.658887784145233
F9,0.171062083438842,0.86417494940094,0.935401577464867
ABCD1,-0.0428785875134039,0.965798317738131,0.984109402054303
BCORL1,-0.371328997534683,0.710392502517307,0.846447865321137
KCND1,1.73146553266095,0.0833687672161038,0.243894193118395
PCSK1N,-0.839737950800638,0.401055330433722,0.622979501502842
GPR50,-2.8680921904756,0.00412955184909078,0.0357490334800104
RP2,2.09435515577105,0.0362283543855362,0.14568932437987
USP11,-3.65285153393875,0.000259344194047074,0.00524161108317992
TIMP1,-1.91790969503969,0.0551224627046304,0.188764081318826
GLA,0.563882637753942,0.572834006830858,0.75744855440693
ATP12A,1.34750898532843,0.177816361521031,0.386782095789346
MLNR,1.39852787648374,0.161954607540833,0.365388062054239
ACP5,1.8177308502091,0.0691052801227663,0.217756935709563
SGCG,3.03993323904367,0.00236630595390044,0.0245394087095179
OLFM4,1.81565977667012,0.0694225778377861,0.218482064241689
NTHL1,1.08720741268612,0.276945155578887,0.503984546101866
ZNF263,0.930776397970437,0.3519692409618,0.578928185992407
MMP2,-3.72048430667706,0.00019884109833839,0.00442691956846633
ORC6,-0.200973065863625,0.840719634695931,0.921005569891664
C16orf70,0.0341258436919332,0.972776800197881,0.98695573038053
CORO1A,-0.379518502683987,0.704302867031648,0.842530008874693
NUTF2,NA,NA,NA
CBLN1,NA,NA,NA
ARL2BP,-1.13450409398524,0.256583157424598,0.479225057532441
PLLP,-0.229203047254094,0.8187111042563,0.907721499147603
CCL22,1.07076662401295,0.284274377534926,0.5119549884757
DHODH,-0.0781214395568992,0.937731453010135,0.96937867870117
POLR2C,NA,NA,NA
PARD6A,-0.0736762972781025,0.941267959550434,0.97177111622107
MMP15,0.948641477818266,0.342802987766091,0.570718393161947
USB1,1.5457488963533,0.122165223334523,0.308466164107462
CCDC113,-0.824139155319462,0.409860494247636,0.63004214393802
PRSS54,1.55479724695089,0.119994365026518,0.30504738240131
NME3,-1.06646919065523,0.286211598766817,0.513391841901065
PSMD7,NA,NA,NA
SETD6,1.91690450038329,0.055250065242574,0.18894592473336
SLC38A7,1.62981232010246,0.103141169130706,0.277746017231093
SMPD3,-4.5650599497248,4.99351619405459e-06,0.000346025359493082
SLC7A6,2.00017690167581,0.0454811650903588,0.167540489824529
PLA2G15,-0.766738661413339,0.443236912225314,0.658332027768871
FA2H,1.45571934931104,0.145470218703963,0.342428878937303
MPG,-1.38649054795267,0.165597164499789,0.369969146845571
HSDL1,-0.128641975969644,0.897640950222806,0.951838765707244
USP10,0.362732145835195,0.716804983964605,0.850315114399313
TSC2,-2.01969152502571,0.043415394736873,0.163265052505456
