,Herbivore.Insectivore.Rho,Herbivore.Insectivore.P,Herbivore.Insectivore.p.adj,Herbivore.Omnivore.Rho,Herbivore.Omnivore.P,Herbivore.Omnivore.p.adj,Insectivore.Omnivore.Rho,Insectivore.Omnivore.P,Insectivore.Omnivore.p.adj,Herbivore.Vertivore.Rho,Herbivore.Vertivore.P,Herbivore.Vertivore.p.adj,Insectivore.Vertivore.Rho,Insectivore.Vertivore.P,Insectivore.Vertivore.p.adj,Omnivore.Vertivore.Rho,Omnivore.Vertivore.P,Omnivore.Vertivore.p.adj,Carnivore.Herbivore.Rho,Carnivore.Herbivore.P,Carnivore.Herbivore.p.adj,Carnivore.Omnivore.Rho,Carnivore.Omnivore.P,Carnivore.Omnivore.p.adj
CYP51A1,-0.292825957829782,1,1,1.84355009316848,0.391492409700593,1,1.83489149058359,0.399130612534384,1,4.5084480476907,3.91821330193491e-05,0.00903445000437052,4.34244970190181,8.45416501174802e-05,0.0577196323407169,3.11717829885299,0.0109554663045957,0.390445635183461,-1.93291691174744,0.159739302535584,0.526694132522967,-0.0504160215135167,1,1
USP28,-1.56727254877573,0.702305994162537,1,-0.473580849104634,1,1,1.07418321670657,1,1,-0.996117504230006,1,1,0.196424998206447,1,1,-0.640245042511044,1,1,1.65882045162503,0.291455933762038,0.774705569525472,1.09642842073396,0.818673996228558,1
SLC7A2,-0.78236611019122,1,1,-0.818128528373497,1,1,0.0599770231217195,1,1,0.183130934413987,1,1,0.729737768421184,1,1,0.728509915705087,1,1,0.49188572304956,1,1,-0.307400636820723,1,1
HSPB6,-1.06297793673803,1,1,-0.937481931158843,1,1,0.157296227988955,1,1,-0.418795444351417,1,1,0.281919637092413,1,1,0.177946836088254,1,1,1.03495438594591,0.902070641806516,1,0.057897760020198,1,1
PDK4,-0.793299568046046,1,1,3.42840296961597,0.00364286114887495,0.189229852170228,3.69426477587889,0.00132314354836385,0.0467660112733399,0.907673603985139,1,1,1.39293794049325,0.981831348458101,1,-1.43984525181714,0.899467111752196,1,0.182649121494894,1,1,3.42575989776475,0.00183924622982208,0.0500090683157751
USH1C,-1.10465756616283,1,1,-0.519513914806192,1,1,0.597876772136049,1,1,-1.8065329536209,0.425010789258369,1,-0.866059460866824,1,1,-1.38591642737089,0.994634544334941,1,1.69399487174045,0.270798772612967,0.738551507322662,1.08926083260794,0.828116638823244,1
RALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAIAP2L1,-1.08831148501821,1,1,1.22691695000735,1,1,2.13426701510559,0.196925578347997,1,1.20992987374729,1,1,1.90164798340188,0.343303142485898,1,0.3608322589529,1,1,0.296008028101234,1,1,1.47753971225658,0.418593063946957,1
CACNG3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM132A,0.803210493438969,1,1,2.81155549301753,0.0295815511784953,0.555522861353142,1.6897842081983,0.546415476458083,1,0.453521979394801,1,1,-0.14867626864439,1,1,-1.4828725163481,0.828649708430827,1,-0.826017855470218,1,1,1.93529833041199,0.158861091340922,0.67241037410774
DVL2,-1.21123732343272,1,1,-3.13542262010311,0.0102964016372751,0.326481735248598,-1.59226760990524,0.667947524841477,1,-1.76166418991838,0.468756309608785,1,-0.731326835451428,1,1,0.538641534016733,1,1,1.75997017175326,0.235238592504496,0.67958947802624,-1.41469322157364,0.47147538802204,1
RPAP3,1.98763627172424,0.28111159040318,1,-0.130690206943784,1,1,-2.01732147260451,0.261971857286484,1,0.215620859708827,1,1,-1.25024645084319,1,1,0.300842337881569,1,1,-1.59043857717538,0.335207941553997,0.84965258175244,-1.63322388090814,0.307265757447078,0.977255307527003
HOXA11,-1.561871878956,0.709909046245689,1,-1.12080744260518,1,1,0.460976668553977,1,1,-2.09972761025333,0.214516856045683,1,-0.872944993295326,1,1,-1.24749064377193,1,1,2.14122645554038,0.0967673417684695,0.379587766235341,0.891296584907456,1,1
TRAPPC6A,0.373707290013046,1,1,0.353937414377985,1,1,-0.031960249272823,1,1,0.443050789362173,1,1,0.158703068622783,1,1,0.186026233219075,1,1,-0.484921842582569,1,1,-0.103466697804332,1,1
SPATA20,1.76867416185688,0.461689599525121,1,0.475939670375401,1,1,-1.26547973050664,1,1,-0.335581962762907,1,1,-1.59556165426555,0.663520166988961,1,-0.658377067329958,1,1,-1.1779166058153,0.716489562661448,1,-0.644676040337964,1,1
CD79B,0.792965957651618,1,1,0.354759193314898,1,1,-0.448852841372516,1,1,1.19258048895677,1,1,0.547130605759339,1,1,0.920572682506292,1,1,-1.15875165702971,0.739672283900493,1,-0.755754172563254,1,1
RHBDD2,2.590400200387,0.0575186480393069,0.367058206774948,3.65650909736989,0.00153404004968297,0.122884681874604,0.728360663346981,1,1,1.84616903886927,0.389205989811978,1,-0.0800745945896166,1,1,-0.644290716044798,1,1,-2.86280207022137,0.012597383548062,0.0946669123984421,0.838946454071683,1,1
RPUSD1,-2.48079815791277,0.0786531476378503,0.450207185802212,0.402597765108229,1,1,2.69962611645601,0.0416504638348659,0.396200037229161,-0.432880631287366,1,1,1.34747335379446,1,1,-0.690631852706806,1,1,2.09922818397161,0.107390371978525,0.405913210867192,2.3495855349296,0.0563829761856384,0.373881015865133
TSR3,2.00354495690159,0.270712963034964,1,0.462151186336198,1,1,-1.55910760169057,0.71382548857501,1,1.11421886272654,1,1,-0.425581954289137,1,1,0.784898776348081,1,1,-2.04455562709115,0.122696063802518,0.442455606677721,-1.53492326384389,0.374408034969888,1
NDUFAB1,1.5418210206491,0.738702554822076,1,1.50040344874777,0.801059560398858,1,-0.164960003745507,1,1,1.57742266431241,0.688189823058505,1,0.370423404391244,1,1,0.516059469464001,1,1,-1.92368068303049,0.163183862370647,0.533906715516338,-0.359371018420309,1,1
YBX2,-2.42930100035664,0.0907678025944957,0.496223403551805,-0.984116258914249,1,1,1.32372218212463,1,1,-2.0260585819623,0.256552690626992,1,-0.0890585932628126,1,1,-1.1776710665445,1,1,2.78165784302052,0.0162246073454953,0.113259810561745,1.49736150568527,0.402897656678153,1
ITGA3,-3.19924652648577,0.00826723742883256,0.100661882933465,0.409694155954869,1,1,3.38072149705172,0.00433774677972041,0.0989588918790085,-1.97930989008531,0.286686760602083,1,0.479892700841964,1,1,-2.19478285340624,0.169075068234306,1,3.35695866473846,0.00236414679152922,0.0299768813009814,3.52507863970459,0.0012700712775723,0.0394629289817108
KRT33A,1.60540026185457,0.650434480977309,1,2.02026523565148,0.260135296592235,1,0.208315449876213,1,1,1.95591284778181,0.302852529533495,1,0.711665498071877,1,1,0.587110872977091,1,1,-2.14448126740742,0.0959830344428585,0.377412628975341,-0.101642109567178,1,1
LRRC23,-0.663246066688714,1,1,-2.85313186432399,0.0259743923285478,0.520652831875863,-1.85533529939964,0.381290162435899,1,-0.307421452471027,1,1,0.189151463327746,1,1,1.65572197296922,0.586668812476677,1,0.647904948580461,1,1,-2.14639490483493,0.0955244564794751,0.508510683771336
TFAP2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRY1,2.12806462458829,0.199990355020757,0.834160921736344,1.24068742865663,1,1,-0.914274654231141,1,1,1.08018207254333,1,1,-0.4257265123069,1,1,0.239117373074512,1,1,-2.15259590640658,0.0940513516388198,0.371672047420932,-0.811620623717168,1,1
PGLYRP1,-0.598685163343867,1,1,1.31496322489275,1,1,1.66725786699266,0.572778843888425,1,0.930217659678258,1,1,1.25732019228292,1,1,0.0805827100273495,1,1,0.0453851440931577,1,1,1.25727895834045,0.625957921670163,1
STARD3NL,-1.33552033239216,1,1,-0.584630228074084,1,1,0.738448860820398,1,1,-1.11805034809757,1,1,-0.151014534526757,1,1,-0.702368952148859,1,1,1.5515459273044,0.362312729903975,0.892645256215097,0.872275053393612,1,1
CD74,-1.88243007465957,0.358665874276551,1,-1.38534214043046,0.995687243776385,1,0.555329213603621,1,1,-3.00570493725601,0.0158979585757504,0.241693440165604,-1.46528166124545,0.857064526652347,1,-1.94865969195801,0.30801647080199,1,2.81537699643824,0.0146160130421488,0.10521157366508,1.29173001372371,0.589351978865972,1
RPS20,-2.37332237272677,0.105773220249316,0.547574289862107,-1.68966064970327,0.54655737351767,1,0.456350221924368,1,1,-1.25745870255191,1,1,0.604572967185376,1,1,0.189088196100978,1,1,2.36902553038425,0.053505066855224,0.256499596216464,0.237338880150599,1,1
MGST1,2.51661783456143,0.0710923631943652,0.423074004420256,2.40192995445996,0.0978529856338296,1,-0.291079331780627,1,1,3.65323878487589,0.00155371925841511,0.0625166141321681,1.58289028705331,0.680678837726615,1,1.87903722984431,0.3614364594343,1,-3.65817638295042,0.000762048649193533,0.013272726322649,-1.07839736464279,0.842569387767268,1
CPA1,1.84612772381481,0.389241973407055,1,1.90934778412269,0.337303451465575,1,-0.0880265844983325,1,1,1.77885107613141,0.451585084937859,1,0.389666327500559,1,1,0.47148914071879,1,1,-2.2405921160834,0.075157523594199,0.319450948275176,-0.274133769111827,1,1
SYPL1,0.299295048085385,1,1,1.73005962403925,0.501717738197352,1,1.28174939888202,1,1,0.909350493736786,1,1,0.642322782514453,1,1,-0.34855689269427,1,1,-0.644094608931762,1,1,1.11620668293942,0.793001023615373,1
RANBP9,2.06550709990323,0.233250266721843,0.914677195319506,1.5397314062151,0.741755028379111,1,-0.592137695319703,1,1,-0.0649051884231414,1,1,-1.44402227440765,0.892396258871975,1,-1.05088311648762,1,1,-1.59748049110081,0.330475928906846,0.84279665286545,-0.0108067042334509,1,1
CD4,-1.86182591781158,0.375765791967925,1,-2.65214133947649,0.0479898316995537,0.687116875321925,-0.528684179237382,1,1,0.624103892285196,1,1,1.8944489602287,0.348992657913311,1,2.39490380118822,0.0997483583451411,1,1.11231295468303,0.798010847371328,1,-1.49555546390251,0.404308608738116,1
PLEKHG6,-1.23409478184484,1,1,-0.609506687851195,1,1,0.641128512552764,1,1,-1.54898668049002,0.728309531929344,1,-0.536315291269931,1,1,-1.07284473085748,1,1,1.65838486571142,0.291719428029615,0.77525367284882,0.971476687033438,0.993932870460106,1
QPCTL,0.965019156712968,1,1,1.11444833520241,1,1,0.0519563488926088,1,1,0.94326841416785,1,1,0.230054565579129,1,1,0.200789228181308,1,1,-1.17680062124069,0.717825283827739,1,-0.0459798630980224,1,1
PPP5C,0.420353664313921,1,1,1.4199216643388,0.933782928277672,1,0.885697964871237,1,1,1.44330617392456,0.893605448203744,1,1.08687159782045,1,1,0.457580229989722,1,1,-0.949742019879256,1,1,0.504797454141169,1,1
UBR7,-1.38529353781801,0.995776373479086,1,-2.69537741222805,0.0421853662245185,0.654496711454814,-0.976303353477406,1,1,-2.65678485076856,0.0473338633829394,0.458788798812137,-1.42888549223798,0.918222887474635,1,-0.728715994701068,1,1,2.33274678807139,0.0589843168930322,0.272049749983767,-0.366796368685097,1,1
MAP4K5,0.245378216843116,1,1,-1.92073282209102,0.328592396753738,1,-1.93049357846124,0.321274260670028,1,0.892916439234495,1,1,0.674727655461492,1,1,2.1238013151372,0.202120565967847,1,-0.584857416741633,1,1,-2.38906801773227,0.0506735245740501,0.352123617513868
ERCC1,1.70914067608182,0.524549367156114,1,0.438923704142302,1,1,-1.06380150015914,1,1,0.0333808739651697,1,1,-1.20759650736577,1,1,-0.295443238467873,1,1,-1.29927365088873,0.581550100709686,1,-0.641553275286304,1,1
GPRC5A,2.15796240521644,0.18558452917572,0.791371117127415,3.62161858596879,0.00175659329072053,0.13177973283444,1.13286335699114,1,1,2.64070988158958,0.049639518691255,0.471544441600199,0.925216590253216,1,1,0.0756972237899691,1,1,-2.87724447773756,0.0120349397813539,0.0917995782420407,0.81773216022011,1,1
HEBP1,-1.01184740746163,1,1,-0.911067448271381,1,1,0.131851836079043,1,1,0.0434736246276477,1,1,0.730087509971274,1,1,0.646979090103458,1,1,0.776349921813721,1,1,-0.168711761449473,1,1
COX15,0.587683147168536,1,1,0.631334981361776,1,1,-0.00363241123372841,1,1,0.699075450576769,1,1,0.236710069332141,1,1,0.248556076403649,1,1,-0.774556541696275,1,1,-0.11407384928573,1,1
MS4A12,-0.2160945233834,1,1,1.62536574382788,0.624507903349341,1,1.48154527007912,0.830767985222977,1,0.698143166514735,1,1,0.776430585137533,1,1,-0.223117586298831,1,1,-0.156362397877504,1,1,1.26771386369015,0.614700456192314,1
XYLT2,0.708580741986326,1,1,1.88034276335835,0.360368272416965,1,0.946231070842,1,1,0.238216691931353,1,1,-0.276618566403099,1,1,-1.023053530175,1,1,-0.654248179040661,1,1,1.1784987783814,0.715793457204293,1
FTSJ1,3.93032436270579,0.000508988056696656,0.0146998068746169,0.513986341688359,1,1,-3.24510426355142,0.00704445762860778,0.133023132887606,2.66803941743748,0.0457771838694907,0.44857513465931,-0.352128091368299,1,1,2.21731825114661,0.159608109404235,1,-4.28442200378676,5.49644600324978e-05,0.00204604866502391,-3.451907706036,0.00166991427858424,0.0471165506881352
SCTR,-1.59929250164165,0.658533749228407,1,-2.32753595579228,0.119620545630768,1,-0.514386640013971,1,1,0.6169812703624,1,1,1.69442201421205,0.541110715403512,1,2.15782116550437,0.185650431794102,1,0.942387860539807,1,1,-1.35376737093464,0.52743181979573,1
RALBP1,5.3766000922835,4.55433059131665e-07,8.45328190241945e-05,2.02414538544985,0.257731170043336,1,-3.29219582506295,0.00596450202288626,0.119664486033803,1.48350440689426,0.827642678794204,1,-2.34716974914527,0.113499806540499,1,0.0792681949878612,1,1,-4.83723351634082,3.94976161551489e-06,0.000287727849742651,-2.55440077257043,0.031911223027111,0.270516910126818
SYT13,0.362774969292106,1,1,1.82184262475775,0.410873208484059,1,1.26319622104866,1,1,-0.459341819997273,1,1,-0.681820990169381,1,1,-1.64905059118784,0.594823623926602,1,-0.0793131529024171,1,1,1.68713287110847,0.274733417040108,0.916588378659845
SNAI2,-0.636562977123284,1,1,-0.29382596913957,1,1,0.310948354949528,1,1,0.738834055088931,1,1,1.11829632876569,1,1,0.893913310192789,1,1,0.197282437395897,1,1,-0.108618895276748,1,1
SLC7A9,3.6823312567246,0.00138666503540432,0.0282152965760077,2.11742421586651,0.205343164803125,1,-1.64963404849324,0.594106840044009,1,3.14293291718169,0.0100358500961614,0.186023832842124,0.365607787043285,1,1,1.63694782628343,0.60984822936259,1,-4.26615630724829,5.96608424014462e-05,0.0021524557477773,-1.98135899783341,0.142653085382274,0.63654549382917
RTF2,0.756124350492267,1,1,0.987711359952066,1,1,0.146930762100586,1,1,1.14821070150078,1,1,0.543666476719534,1,1,0.451057604973468,1,1,-1.11447845273483,0.795221949838134,1,-0.08741743923803,1,1
RB1CC1,0.504276183456162,1,1,1.35042290182412,1,1,0.716008926640665,1,1,0.790102156051845,1,1,0.371195654513857,1,1,-0.18551887238409,1,1,-0.754159759646746,1,1,0.616601109923584,1,1
AKAP11,-0.758918549718847,1,1,-2.21773834818866,0.159436067512703,1,-1.19917347676094,1,1,-2.50105562031453,0.0742942379177248,0.59883989016522,-1.77488070655852,0.455505519547192,1,-0.911777706652436,1,1,1.76351797285541,0.233439506150513,0.676624350555765,-0.479158015689898,1,1
B4GALT7,-0.409617555844964,1,1,0.290023718226407,1,1,0.638186520004071,1,1,0.0553067249767045,1,1,0.337391437272801,1,1,-0.136552511029097,1,1,0.287560671787114,1,1,0.545765948974541,1,1
FAM13B,5.54209827742321,1.79321086702738e-07,4.78818761336082e-05,2.03245171766112,0.252647681726555,1,-3.42377799028579,0.00370542307470281,0.0906696771655576,3.08108693602258,0.0123747852512985,0.211594923544112,-0.827418346697715,1,1,1.67594859120126,0.562489576412767,1,-5.74922631661745,2.68958239501674e-08,6.60465999421448e-06,-3.37710609080524,0.00219758371739217,0.0553022342532091
CHPF2,1.0192074400157,1,1,1.13512367878654,1,1,0.0340947558136276,1,1,-1.016615569481,1,1,-1.64726924826212,0.597016294663795,1,-1.72641037357956,0.505641665073303,1,-0.354796154326285,1,1,0.759017084978629,1,1
GABARAPL2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYOC,-2.35395451217645,0.111449303808531,0.56676612573938,-1.10277955913847,1,1,1.29162414289866,1,1,-3.51657378250554,0.00262293084072232,0.0849271522002389,-1.52197768621768,0.768088031160678,1,-2.64478379820805,0.0490458763881109,0.753911333383134,3.50540335713036,0.00136774796414481,0.0199164623109793,2.20992899135073,0.0813302724394398,0.464585807861848
FAM136A,1.07773014207396,1,1,0.17415672733867,1,1,-0.813862650289637,1,1,1.08473877287268,1,1,0.377226283999172,1,1,0.931078998854307,1,1,-1.32506575789465,0.555448026313434,1,-1.00627637486917,0.942847925326789,1
NSMAF,0.529210607047626,1,1,2.37930679830167,0.10407139746449,1,1.5976342236638,0.660746431406931,1,-1.30918495582687,1,1,-1.60738136837154,0.647824407990673,1,-2.96906353473715,0.017922529687753,0.483694902628246,0.245101378165099,1,1,2.55819551121785,0.0315650755282357,0.269321393475486
OTC,1.62800457958411,0.621143488330999,1,1.72400986257243,0.508236376351665,1,0.00686332541000677,1,1,1.08772145299842,1,1,-0.120728995281923,1,1,-0.129090390875823,1,1,-1.75145694354611,0.239601695018064,0.686059974873911,0.0614600968109016,1,1
TTC17,0.1564586278608,1,1,-0.0607364463458868,1,1,-0.199284736557786,1,1,0.887554848134371,1,1,0.730699463183314,1,1,0.895047643442353,1,1,-0.509837011547469,1,1,-0.526911418220484,1,1
HOXC8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRI1,1.58244582236555,0.681286986565288,1,0.312333768792102,1,1,-1.23678833886471,1,1,-0.0122938407858995,1,1,-1.12504844623876,1,1,-0.221428539091563,1,1,-1.20752322678493,0.681692116888012,1,-0.838095634179061,1,1
TARBP1,2.17732639147028,0.176737340503461,0.768941475174369,0.305740171982008,1,1,-1.81116817516041,0.420688937477957,1,-0.194816536626397,1,1,-1.7446532829243,0.486271439382519,1,-0.399808466772359,1,1,-1.56004055359695,0.356250894258244,0.883075914396101,-1.17662846403936,0.718031494927395,1
RTN4R,-2.12110122437391,0.203479709673797,0.84373397486494,-0.0974186909082842,1,1,1.94516359740387,0.310531749383498,1,-0.612496939704276,1,1,0.971724409104675,1,1,-0.528296239952726,1,1,1.88544866821213,0.178107865725939,0.56536843215621,1.69086925151714,0.272585331371526,0.913086105053636
PSMA4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZPBP,-1.40278263121299,0.964090007272817,1,1.52839709287496,0.758483857123378,1,2.67242886415173,0.045182603247844,0.416775285716476,1.04775412702514,1,1,1.9773790990304,0.287992768256205,1,-0.0506126576212917,1,1,0.59815427471201,1,1,2.04302646909846,0.123149453879823,0.583355244377757
LCP2,-0.448031329140146,1,1,0.716832803209361,1,1,1.0626291007076,1,1,-0.363297100683609,1,1,-0.0322788208521646,1,1,-0.830511159675344,1,1,0.510842587396318,1,1,1.17814067708994,0.716221583455329,1
DCN,-1.95137241944018,0.306076559508725,1,-2.95772783547417,0.018594937512367,0.443597098649257,-0.781246037772999,1,1,0.502318912619589,1,1,1.79350257271052,0.437355597805669,1,2.42173249341013,0.09268029983095,1,1.31502488381799,0.565504618923201,1,-1.62758150360238,0.310840961138064,0.982604865754416
TNFRSF17,-0.770518621785527,1,1,-1.1240019864074,1,1,-0.26005446765307,1,1,-0.651634367321418,1,1,-0.0839481041817153,1,1,0.105195617178401,1,1,0.88622023910984,1,1,-0.247284925815895,1,1
MRPS10,3.11858529107999,0.0109032922712919,0.12025225244135,1.88621578716048,0.355595291729862,1,-1.26854249165078,1,1,3.76135162626349,0.00101398594951965,0.050100123960357,1.13147138258558,1,1,2.22889301436399,0.154926144191528,1,-4.17628370954556,8.88930655621378e-05,0.00290647885827438,-1.98122228311299,0.14269905409741,0.63656404882305
GRN,3.45467858796889,0.00330569517796083,0.0524090423005873,1.35097533180282,1,1,-2.0859137977986,0.221918593278612,1,3.10484011990031,0.0114229141236221,0.200964054489343,0.4592109515631,1,1,2.0911904775942,0.219065955580376,1,-4.08802597302212,0.000130517835997775,0.00382141164051178,-2.51349441961922,0.0358625007415855,0.289477850228194
THAP3,0.951846221654885,1,1,1.00107872227872,1,1,-0.0577864993499214,1,1,-0.0898655439616026,1,1,-0.770908496045187,1,1,-0.770036065009266,1,1,-0.666058540370581,1,1,0.325145940745233,1,1
VAMP3,-0.629611394488366,1,1,1.20210891323866,1,1,1.65389082433754,0.588898183934992,1,-0.505461449809324,1,1,-0.032613504148454,1,1,-1.30777580665015,1,1,0.715458406868335,1,1,1.82430986589694,0.204315719181415,0.778844973594651
RCN1,0.580224385836976,1,1,1.20422277307009,1,1,0.523973647603063,1,1,1.87793138209943,0.362343315832355,1,1.39333521621869,0.981110676593689,1,1.05558619893081,1,1,-1.26023718989898,0.622751431776065,1,-0.0256991060968303,1,1
RFC2,2.34348864479649,0.114626062631885,0.576730139919764,0.726768482233702,1,1,-1.53968371432406,0.741824810638606,1,0.680623279090403,1,1,-1.10675546945897,1,1,0.124154688166301,1,1,-2.06570586072465,0.116568784722626,0.427660787061442,-1.17510209634752,0.719861616229267,1
PPP1R3F,1.28406429739317,1,1,-0.0248108958916506,1,1,-1.27618374322362,1,1,-0.456484354136098,1,1,-1.36772466917372,1,1,-0.43259951099011,1,1,-0.728143914377967,1,1,-0.731123409743736,1,1
NFE2L3,5.30456438193194,6.77654265515525e-07,0.000107670831275769,0.911712118636785,1,1,-4.25508705764085,0.00012538061568709,0.011428489013581,0.821471476810714,1,1,-2.98443959646157,0.0170458972798841,0.521819086705361,0.180902885579956,1,1,-4.44185574040878,2.67559043948647e-05,0.0012573707484455,-3.30357407649731,0.00286382236031098,0.0634668055833111
CBLN4,-2.27160674618861,0.138661638398216,0.657045497017697,-0.892430075455783,1,1,1.24873154716925,1,1,-1.12766018994434,1,1,0.424280566688739,1,1,-0.479832467728089,1,1,2.28489012625156,0.0669578134280785,0.296432890212996,1.17458069539367,0.720487530940954,1
CLDN11,-1.18805382312044,1,1,0.455202421963656,1,1,1.45267446564122,0.877884958952502,1,1.5561798401848,0.717992002867325,1,2.22355478080335,0.157070482871513,1,1.16863270475099,1,1,0.132739045973836,1,1,0.533444061230234,1,1
FAM168A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RELT,-0.317736408734583,1,1,-0.636868260831562,1,1,-0.249412737122409,1,1,0.170427673565001,1,1,0.386315739437132,1,1,0.602216707614735,1,1,0.157937805327633,1,1,-0.464721457329527,1,1
PKP2,-1.49240284098071,0.813561424300939,1,-1.28686451702271,1,1,0.313196536397162,1,1,-0.0226802972407575,1,1,1.06588076449462,1,1,0.8692356043902,1,1,1.12316018437025,0.784108407459173,1,-0.182105620352127,1,1
YIPF1,1.34504944430183,1,1,-0.320591937950338,1,1,-1.57990548778495,0.684771073777356,1,-0.32073396106779,1,1,-1.24480519106652,1,1,-0.0989307511582481,1,1,-0.896031410106348,1,1,-1.16859271918862,0.727703289182821,1
ADCK2,1.78225593378515,0.448245031164672,1,2.00464723974423,0.270004635714835,1,0.0293879608810893,1,1,1.76300688870724,0.467395966970019,1,0.286005195632814,1,1,0.27755871429583,1,1,-2.18391280118783,0.0869059685535246,0.351899832773248,-0.113850384740529,1,1
INPP4A,-1.14841396978422,1,1,1.42681738328411,0.921795235459431,1,2.32011185702217,0.122008962496741,0.761175993244865,-0.229180901318223,1,1,0.595990592540231,1,1,-1.1844343973534,1,1,0.985670725671142,0.972884157990046,1,2.28249386611373,0.0673805976363195,0.417189751530283
SLC2A3,0.71012135003823,1,1,1.35124959377729,1,1,0.520277394030471,1,1,0.676518428308655,1,1,0.142248889988016,1,1,-0.246670423562096,1,1,-0.855424760981277,1,1,0.50646246459552,1,1
STYK1,1.16464206920821,1,1,1.55867210559064,0.714444042998622,1,0.260853952641249,1,1,0.79985113168425,1,1,-0.0857177812594197,1,1,-0.293656978703677,1,1,-1.26230554555964,0.620516585971185,1,0.328705832281681,1,1
GNA11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
